위치명,위도,경도,쓰레기통유무,카테고리
군자교입구,37.55874,127.0756,1,버스정류장
군자교입구,37.55879,127.0749,1,버스정류장
군자역.용마초등학교,37.5561,127.0825,1,버스정류장
군자역.용마초등학교,37.55627,127.0816,1,버스정류장
중곡동입구삼거리,37.5545,127.0866,1,버스정류장
어린이대공원후문아차산역,37.55121,127.0901,1,버스정류장
어린이대공원후문아차산역,37.55275,127.0892,1,버스정류장
중곡동입구삼거리,37.55493,127.0852,1,버스정류장
새밭교회,37.54898,127.0932,1,버스정류장
새밭교회,37.54896,127.0926,1,버스정류장
광나루역,37.54574,127.1026,1,버스정류장
광나루역,37.54516,127.1038,1,버스정류장
어린이대공원앞,37.55205,127.077,1,버스정류장
구의사거리.광진소방서앞,37.54525,127.084,1,버스정류장
광진구청,37.53896,127.0834,0,버스정류장
구의역2번출구,37.5377,127.088,1,버스정류장
래미안구의파크스위트,37.54496,127.0891,1,버스정류장
현대아파트앞,37.53964,127.0942,1,버스정류장
강변역A,37.53603,127.0935,1,버스정류장
테크노마트앞.강변역,37.53686,127.0938,1,버스정류장
현대2단지,37.53785,127.0965,0,버스정류장
올림픽대교북단사거리,37.54339,127.0937,1,버스정류장
광장동현대아파트앞,37.54191,127.0978,1,버스정류장
광장동현대아파트앞,37.54207,127.099,1,버스정류장
광나루역.극동아파트,37.54354,127.103,1,버스정류장
워커힐아파트.광장동,37.5479,127.1067,1,버스정류장
워커힐아파트앞,37.5505,127.109,1,버스정류장
자양동잠실대교북단,37.53296,127.0848,1,버스정류장
자양미소약국.자양골목시장,37.5327,127.0769,1,버스정류장
국민은행자양지점앞,37.53153,127.0807,1,버스정류장
구의역3번출구,37.53752,127.0883,1,버스정류장
신양초등학교앞,37.53491,127.0693,1,버스정류장
뚝도변전소앞,37.53609,127.0689,1,버스정류장
광진문화예술회관,37.53857,127.0702,0,버스정류장
자양우성아파트앞,37.53395,127.0734,1,버스정류장
자양고교앞,37.53458,127.0712,0,버스정류장
광진광장,37.54772,127.0715,0,버스정류장
어린이대공원역3번출구,37.5468,127.0751,1,버스정류장
장안초등학교,37.54858,127.0705,0,버스정류장
능동교회앞,37.55287,127.077,1,버스정류장
능동사거리.군자역,37.55632,127.0788,0,버스정류장
광진청소년수련관,37.54595,127.1054,1,버스정류장
강변역B,37.53597,127.0935,1,버스정류장
테크노마트앞.강변역,37.53691,127.0938,1,버스정류장
광남고.삼성아파트,37.54195,127.1014,0,버스정류장
자양중학교앞,37.53469,127.076,0,버스정류장
미니스톱구의중앙점앞,37.54155,127.09,0,버스정류장
구의홈마트앞,37.54029,127.0897,0,버스정류장
화양동현대아파트,37.54398,127.0652,1,버스정류장
구의역4번출구,37.53665,127.0848,1,버스정류장
동서울호텔앞,37.53453,127.0921,0,버스정류장
워커힐아파트,37.55,127.1076,0,버스정류장
광진경찰서앞,37.54235,127.0844,1,버스정류장
중곡4동파출소,37.56542,127.0868,1,버스정류장
건대입구역 3번출구,37.54086,127.0713,0,지하철 입구
건대입구역 5번출구,37.53986,127.0703,0,지하철 입구
건대입구역 6번출구,37.54055,127.0683,0,지하철 입구
강변역 2번출구,37.53483,127.0951,1,지하철 입구
중곡역 3번출구,37.56613,127.0843,1,지하철 입구
어린이대공원역 1번출구,37.549,127.0754,1,지하철 입구
건국대학교 정문(상허문),37.53958694,127.0725627,0,학교
아차산역사거리(짬뽕지존앞),37.55002,127.0905,1,도로변
능동로분수광장,37.54305,127.0725,1,도로변
건국대학교앞(05-180),37.53875,127.075,1,도로변
용마사거리(고려학원앞),37.56243,127.0825,1,도로변
21세기약국앞,37.55804,127.0877,1,도로변
용마사거리(장터참숲무한리필앞),37.56224,127.0821,1,도로변
중곡1동사거리(대구참막창앞),37.56298,127.08,1,도로변
광진교북단,37.5459,127.1096,1,도로변
광진구 민방위교육센터앞,37.53911,127.098,1,도로변
동서울터미널 흡연부스앞,37.53427,127.0947,1,기타
강변역신호등,37.5346,127.0952,1,도로변
동서울터미널 신호등,37.53586,127.0941,1,도로변
구의강변로(세영아파트앞),37.53748,127.0935,1,도로변
자양사거리(신한은행앞),37.53634,127.0833,1,도로변
자양사거리(순대실록앞),37.53668,127.0836,1,도로변
자양번영로(이디야커피앞),37.5328,127.0757,1,도로변
뚝섬로(은수네헤어앞),37.53228,127.079,1,도로변
동일로(인정순복음교회앞),37.55311,127.0703,1,도로변
동곡삼거리(동부자동차공업사앞),37.56401,127.0765,1,도로변
건국대학교 부속동물병원 앞,37.5388778,127.0747044,1,도로변
